Euphorbia hirta,
Sida acuta,
Ziziphus mauritiana,
Phyllanthus niruri,
Coccinia grandis,
Ocymum pilosum,
Acalypha indica,
Cardiospermum halicacabum,
Calotropis gigantea,
Andrographis paniculata,
Catharanthus roseus,
Ocimum tenuiflorum,
Anisomeles malabarica,
Argemone mexicana,
Coleus amboinicus,
Clitoria ternatea,
Physalis philadelphica,
Urtica dioica,
Datura metel,
Sida cordifolia
