Senna auriculata,
Sida acuta,
Ziziphus mauritiana,
Phyllanthus niruri,
Coccinia grandis,
Ocymum pilosum,
Acalypha indica,
Cardiospermum halicacabum,
Calotropis gigantea,
Andrographis paniculata,
Catharanthus roseus,
Laportea interrupta,
Anisomeles malabarica,
Argemone mexicana,
Mentha arvensis,
Clitoria ternatea,
Physalis philadelphica,
Ocimum tenuiflorum,
Datura metel,
Catharanthus roseus,
